Disease,Recommended Diet,Avoid / Restrict
Allergy ,"Warm soups, herbal teas, citrus fruits (Vitamin C), ginger, turmeric milk, honey with lukewarm water","Cold drinks, processed/junk food, excessive dairy (if triggers allergy)"
Alcoholic hepatitis,"Oats, Spinach, Coconut water, Boiled vegetables, Turmeric water, Fresh fruits (apple/banana)","Alcohol, Fried foods, Red meat, Spicy foods, Packaged snacks"
Amenorrhoea,"whole grains (oats, daliya), green leafy vegetables (spinach, methi), nuts (almonds, walnuts), seeds (flaxseed, chia seeds, sesame), beans, lentils, eggs, milk","fried foods, junk food, packaged snacks, soft drinks, excess sugar, refined flour foods (maida items), alcohol, strong coffee,"
Amino Acid Deficiency,"eggs, milk, chicken, dal, paneer, soybeans","Junk food (burger, pizza), Sugary foods (sweets, candy), Fried foods (pakora, fries), Coca-Cola/Pepsi (soft drinks), Instant noodles (maggi, ramen), Wafer biscuits (cream wafers)"
Anemia,"spinach, beetroot, dates, raisins, jaggery, pomegranate, apple, banana, eggs, chicken, fish, beans, lentils, chickpeas, broccoli,whole grains","tea, coffee (immediately after meals), refined flour foods, junk food, soft drinks, excess sugar, packaged snacks, alcohol"
Arthritis,"Omega-3 foods (salmon, chia seeds, walnuts), leafy greens (spinach, broccoli), berries, whole grains (oats, brown rice), turmeric, ginger, garlic, olive oil, nuts & seeds, green tea","Red/processed meat, deep-fried foods, sugary foods (cold drinks, pastries), refined carbs (maida items), excess salt (pickles, papad), trans-fat foods, alcohol"
Antioxidant Deficiency,"berries, spinach, nuts, green tea, carrots, tomatoes","Fried foods (fries, poori), Processed snacks (biscuits, chips), Junk food (momos, pizza), Alcohol (beer, rum), Coca-Cola/Pepsi (soft drinks)"
Anxiety,"oats, bananas, nuts (almonds, walnuts), seeds (pumpkin seeds, chia), green leafy vegetables, yogurt, chamomile tea, dark chocolate","caffeine (strong coffee), energy drinks, alcohol, sugary foods, fried foods, processed snacks, soft drinks, excessive spicy foods"
Asthma,"Fresh fruits, vegetables, ginger, garlic, turmeric, apples, spinach, walnuts.","cold drinks, fried foods, preservatives, alcohol, ice cream"
Blood Sugar Level,"Fresh fruits, vegetables, whole grains,oats, brown rice, spinach, almonds, chia seeds, guava","sugar, maida, sweet drinks, pastries, fried snacks"
Bronchial Asthma,"Warm fluids, ginger, garlic, turmeric, honey, steam-friendly foods (soups, broths), fruits like oranges & kiwi","Fried food, spicy food, ice creams, cold drinks"
Calcium Deficiency,"milk, curd, ragi, almonds, sesame seeds, cheese","Soft drinks (Coca-Cola, Pepsi), Excess salt (namkeen), Junk food (pizza, chips), Fried foods (fries, samosa), Alcohol (beer, rum)"
Cervical spondylosis,"Spinach, Almonds, Milk, Eggs, Salmon/Fish, Turmeric milk","Fried foods, Red meat, Soft drinks (Coca-Cola/Pepsi), Spicy food, Bakery items"
Chicken pox,"Soft, easily digestible foods (khichdi, dal, soups, upma),Fruits rich in vitamin C (orange, guava, papaya),Coconut water, fresh fruit juices, Yogurt, curd rice for gut health.","Oily, spicy, fried food, junk food, carbonated drinks."
Chikungunya,"Hydrating foods (coconut water, fruit juices), papaya leaf extract (for platelets), soft digestible foods like khichdi, dal, boiled veggies","Oily/fried food, red meat, alcohol"
Chloride Deficiency,"salted soups, broth, tomato juice, buttermilk, cheese, olives","Excess water intake (too much water), Alcohol (beer, whisky), Sugary drinks (Coca-Cola, Pepsi), Soda (7Up, Sprite), Junk snacks (chips, namkeen)"
Chromium Deficiency,"broccoli, oats, nuts, eggs, beans, grapes","Sugary foods (sweets, chocolate), Processed snacks (biscuits, chips), Coca-Cola/Pepsi (soft drinks), Fried foods (pakora, fries), Bakery items (cake, pastry)"
Chronic cholestasis,"Papaya, Apples, Brown rice, Turmeric water, Spinach, Coconut water","Fried foods, Red meat, Alcohol, Butter-heavy foods, Spicy gravies"
Common Cold,"Ginger tea, Warm soup, Honey water, Oranges, Turmeric milk, Bananas","Cold drinks, Ice cream, Fried foods, Too much sugar, Packaged snacks"
Conjuctivitis,"carrot, spinach, oranges, papaya, almonds, coconut water,Fresh fruits","spicy food, junk food, alcohol, fried items, too much caffeine"
Constipation,"oats, papaya, warm water, spinach, chia seeds, apples","fried food, maida items, cheese excess, chips, bakery items"
Copper Deficiency,"nuts, seeds, beans, whole grains, mushrooms, dark chocolate","Processed foods (packaged snacks), Alcohol (beer, rum), Sugary snacks (candy, chocolate), Fried foods (samosa, fries), Coca-Cola/Pepsi (soft drinks)"
Cyanocobalamin Deficiency,"eggs, milk, curd, fish, paneer, fortified cereals,Red meat fry (fried mutton)","Alcohol (beer, whisky), Processed foods (packaged snacks), Fried items (pakora, fries), Junk food (burger, pizza), Coca-Cola/Pepsi (soft drinks)"
Cystitis,"coconut water, cranberry juice, watermelon, cucumber, spinach, yogurt","coffee, alcohol, spicy foods, soda, packaged juices"
Dengue,"High fluid intake (ORS, coconut water), papaya leaf juice, pomegranate, kiwi, papaya, easy-to-digest carbs (rice, oats), protein (dal, boiled eggs)","Aspirin/alcohol, fried/spicy food, caffeine"
Depression,"oats, bananas, walnuts, yogurt, berries, spinach","Coffee, Energy drinks, Chocolates, Candy, Fried foods, Alcohol, Pizza, Burger, Chips"
Dimorphic hemorrhoids (Piles),"Bananas, Oats, Coconut water, Spinach, Warm soups, Papaya","Spicy foods, Fried foods, Red meat, Bakery items, Cola drinks (Coca-Cola/Pepsi)"
Drug Reaction,"Fresh fruits  (papaya, apple, orange, pomegranate),Green leafy vegetables (spinach, coriander, broccoli) ,light dal soup,2.3-3 l water daily.","Spicy and oily foods, fast food,Excessive caffeine and alcohol,Red meat and heavy fried foods"
Fatty Liver,"green leafy vegetables, oats, apples, papaya, nuts, olive oil","fried foods(French fries, Fried chicken, Samosa, Pakora,), sugary drinks(Coca-Cola, Pepsi), alcohol, bakery items(Bread, Biscuits, Cookies), junk food(Pizza, Burger, Chowmein, Momos)"
Fiber Deficiency,"oats, apples, papaya, chia seeds, spinach, beans","Maida items (white bread, noodles), Fried foods (pakora, fries), Packaged snacks (chips, biscuits), Sugar foods (sweets, candy), Coca-Cola/Pepsi (soft drinks)"
Fluoride Deficiency,"fluoridated water, tea, spinach, apples, fish, eggs","Bottled sugary drinks (Maaza, Frooti), Soda (Coca-Cola, Pepsi), Junk snacks (chips, puffs), Fried food (samosa, fries), Sweets (chocolate, candy)"
Folate Deficiency,"spinach, broccoli, lentils, beans, oranges, peanuts","Alcohol (beer, whisky), Junk food (pizza, burger), Fried foods (fries, samosa), Sugary snacks (candy, chocolate), Coca-Cola/Pepsi (soft drinks)"
Fungal infection,"Curd (probiotic), Coconut water, Garlic, Green leafy vegetables, Turmeric milk, Fresh fruits (apple/papaya)","Sugar-rich foods, Bakery items, Fried foods, Soft drinks (Coca-Cola/Pepsi), Cheese/cream-heavy foods"
Gall Bladder Stone,"daliya, oats, apples, spinach, fresh fruits, coconut water","fried foods, red meat, full-fat milk, cheese, creamy gravies(Butter chicken gravy, Shahi paneer gravy etc)"
Gastroenteritis,"BRAT diet (Banana, Rice, Applesauce, Toast), curd, boiled potatoes, coconut water","Spicy food, milk, raw veggies, oily food"
GERD,"Oatmeal, Bananas, Coconut water, Boiled vegetables, Ginger tea, Non-citrus fruits (apple/pear)","Spicy foods, Fried foods, Citrus fruits/juices, Coffee, Cola drinks (Coca-Cola/Pepsi)"
Glaucoma,"spinach, carrots, berries, oranges, almonds, green tea","excess caffeine, sugary snacks, fried foods, alcohol, junk food"
H.Pylori Infection,"yogurt, garlic, broccoli, banana, oats, green tea","spicy foods, fried foods, alcohol, pickles, soda"
Heat Stroke,"ORS, lemon water, buttermilk, watermelon, cucumber, tender coconut, fresh fruits","Spicy/oily food (chilli paneer, samosa, chole bhature), Alcohol (beer, rum), Caffeinated drinks (coffee, Red Bull)"
hepatitis A,"khichdi, daliya, upma, soft roti-moong dal, boiled rice, fruits, vegetables, whole grains, coconut water","Alcohol (rum, whisky), Oily food (paratha, pakora), Processed food (chips, biscuits, instant noodles)"
Hepatitis B,"Lean protein (fish, eggs, pulses), fresh fruits, green veggies, complex carbs","Alcohol (beer, whisky), Fatty food (butter chicken, creamy pasta), Red meat (mutton fry, beef curry)"
Hepatitis C,"Antioxidant-rich diet (berries, green leafy veggies, citrus fruits), whole grains, herbal teas","Alcohol (rum, vodka), Fried/processed food (samosa, nuggets, sausages)"
Hepatitis D,"fish eggs, fresh fruits, veggies, fluids, avoid liver strain foods","Alcohol (beer, rum), Oily/fried food (poori, pakodas, French fries)"
Hepatitis E," coconut water, ORS, papaya, apples, rice, curd","Alcohol (whisky, rum), Fatty/oily food (biryani, paratha, chicken fry), Undercooked meat (half-cooked chicken/mutton)"
Hiv,"eggs, bananas, oats, yogurt, spinach, chicken soup","alcohol, raw eggs, street food, junk food, Coca-Cola/Pepsi/Fanta"
Hypertension,"Fruits (banana, apple, orange, papaya, watermelon),Vegetables (spinach, beetroot, carrot, cucumber),Whole grains (oats, ragi, wheat), Low-fat dairy","Excess salt,pickles, papad, fried foods, processed foods, red meat."
Hyperthyroidism,"Broccoli, Cauliflower, Spinach, Oats, Coconut water, Berries","Caffeine (coffee), Spicy foods, Fried foods, Red meat, Sugary drinks (Coca-Cola/Pepsi)"
Hypoglycemia,"Banana, Dates, Oats, Peanut butter, Milk, Fruit juice (natural)","Sugary drinks (Coca-Cola/Pepsi), Alcohol, White rice excess, Bakery sweets, Fried foods"
Hypothermia,"warm soups, ginger tea, eggs, potatoes, oats, nuts","cold drinks, ice cream, alcohol, chilled foods, soda"
Hypothyroidism,"Eggs, Milk, Banana, Oats, Spinach, Nuts (almonds/walnuts)","Soy products, Refined flour (maida items), Fried foods, Sugary drinks (Coca-Cola/Pepsi), Excess cabbage"
Impetigo,"Curd (probiotic), Coconut water, Garlic, Turmeric milk, Fresh fruits (apple/orange), Green leafy vegetables","Sugar-heavy foods, Fried foods, Bakery items, Soft drinks, Street food"
Inflammation,"turmeric milk, ginger, garlic, berries, leafy greens, walnuts","fried foods, sugar, processed snacks(s, Chips, Biscuits, Instant noodles, Packaged namkeen), red meat, alcohol"
Iodine Deficiency,"iodized salt, eggs, fish, dairy, potatoes, seaweed","Excess cabbage (raw cabbage), Processed snacks (chips, puffs), Junk food (pizza, chowmein), Fried foods (samosa, poori), Maaza/Frooti (sweet drinks)"
Jaundice,"Coconut water, Boiled vegetables, Papaya, Lemon water, Rice porridge (khichdi), Sugarcane juice (fresh)","Fried foods, Oily foods, Red meat, Spicy curries, Soft drinks (Coca-Cola/Pepsi)"
Magnesium Deficiency,"spinach, almonds, chia seeds, oats, banana, yogurt","Alcohol (whisky, beer), Junk food (pizza, momos), Fried food (samosa, fries), Sugary snacks (candy, chocolate), Coca-Cola/Pepsi (soft drinks)"
Malaria,"Hydrating fluids, light meals (khichdi, dal soup), fruits like oranges, papaya, pomegranate, lean proteins","Oily food, fried food, alcohol"
Manganese Deficiency,"whole grains, nuts, legumes, spinach, pineapple, oats","Alcohol (rum, beer), Sugary snacks (chocolate, candy), Junk food (pizza, burger), Fried foods (pakora, fries), Packaged drinks (Maaza, Frooti)"
Migraine,"Fresh fruits (apple, pear, watermelon),Vegetables (green leafy, pumpkin, carrots),Whole grains (oats, brown rice, wheat chapati),Adequate hydration (2 3 L water daily)","Chocolates, caffeine, aged cheese, processed meats, alcohol,"
Mild Food Poisoning,"ORS, coconut water, banana, rice, curd, toast","Spicy food (mirchi, spicy curry), Oily food (fried items, greasy curries), Milk excess (full-cream milk, milkshakes), Street food (pani puri, chowmein), Soda (Coke, Pepsi)"
Mouth Ulcer,"curd, coconut water, banana, watermelon, oats, cold milk","Spicy foods (mirchi, spicy curry), Citrus excess (orange, lemon), Pickles (achar), Chips (potato chips), Fried items (samosa, pakora)"
Muscle Cramp,"banana, coconut water, spinach, yogurt, almonds, sweet potato","Junk food (pizza, burger), Alcohol (beer, whisky), Caffeine excess (coffee, energy drinks), Salty snacks (chips, namkeen), Soda (Coke, Pepsi)"
Niacin Deficiency,"chicken, peanuts, mushrooms, sunflower seeds, eggs, fish","Alcohol (beer, whisky), Sugary foods (chocolate, sweets), Junk food (burger, noodles), Fried foods (fries, poori), Coca-Cola/Pepsi (soft drinks)"
Obesity,"oats, salads, apples, papaya, nuts, green tea","Fried foods (fries, samosa), Sweets (chocolate, candy), Soft drinks (Coke, Pepsi), Junk food (pizza, burger), Bakery items (cake, pastry)"
Omega-3 Deficiency,"walnuts, flaxseeds, chia seeds, fish, soybeans, spinach","Fried foods (samosa, poori), Processed oils (refined oils), Packaged snacks (namkeen, chips), Junk food (pizza, chowmein), Coca-Cola/Pepsi (soft drinks)"
Osteoarthristis,"Salmon/Fish, Turmeric milk, Spinach, Almonds, Olive oil, Oranges","Fried foods, Red meat, Bakery items, Sugary drinks, Excess salt snacks"
Peptic ulcer disease,"Banana, Oatmeal, Coconut water, Boiled vegetables, Turmeric milk, Buttermilk","Spicy foods, Fried foods, Coffee, Acidic foods (lemon/tomato), Soft drinks (Coca-Cola/Pepsi)"
Phosphorus Deficiency,"eggs, milk, fish, nuts, chicken, lentils","Soft drinks (Coca-Cola, Pepsi), Excess sugar (sweets), Junk food (pizza, chowmein), Fried items (pakora, fries), Packaged snacks (biscuits, chips)"
Pneumonia,"Warm soups, honey, ginger tea, whole grains, fruits rich in vitamin C & A, protein-rich diet (eggs, pulses)","Cold drinks, fried food, sugary items"
Potassium Deficiency,"banana, coconut water, sweet potato, spinach, oranges, yogurt","Salty snacks (namkeen), Processed food (packaged meals), Chips (potato chips), Pickles (achar), Coca-Cola/Pepsi (soft drinks)"
Psoriasis,"Fatty fish (salmon), Spinach, Turmeric milk, Almonds, Olive oil, Berries","Red meat, Fried foods, Bakery items, Sugary drinks (Coca-Cola/Pepsi), Spicy foods"
Protein Deficiency,"eggs, milk, dal, chicken, paneer, curd","Junk food (burger, pizza), Sugary foods (candy, sweets), Fried foods (samosa, fries), Soft drinks (Coca-Cola, Pepsi), Chips (potato chips)"
Pyridoxine Deficiency,"banana, chicken, fish, potatoes, spinach, beans","Alcohol (rum, beer), Sugary snacks (candy, chocolate), Fried foods (fries, samosa), Junk food (momos, pizza), Coca-Cola/Pepsi (soft drinks)"
Riboflavin Deficiency,"milk, eggs, spinach, almonds, mushrooms, yogurt","Alcohol (beer, whisky), Processed snacks (chips, puffs), Junk food (pizza, burger), Sugary foods (sweets, chocolate), Pepsi/Fanta (soft drinks)"
Selenium Deficiency,"eggs, fish, sunflower seeds, brown rice, spinach, chicken","Fried foods (pakora, samosa), Alcohol (beer, whisky), Junk food (burger, pizza), Sugary snacks (chocolate, candy), Coca-Cola/Pepsi (soft drinks)"
Sodium Deficiency,"ORS, soups, salted nuts, buttermilk, coconut water, bananas","Alcohol (beer, vodka), Excess water (too much intake), Sugary drinks (Maaza, Frooti), Soda (Coke, 7Up), Junk food (pizza, burger)"
Sulphur Deficiency,"garlic, onion, eggs, broccoli, cabbage, pulses","Processed foods (chips, biscuits), Junk food (pizza, burger), Fried foods (fries, samosa), Alcohol (beer, whisky), Coca-Cola/Pepsi (soft drinks) Processed meat (sausages), Onion rings."
Thiamine Deficiency,"whole grains, nuts, seeds, legumes, eggs, oranges","Alcohol (rum, beer), Polished rice excess (white rice), Sugary snacks (candy, chocolate), Fried foods (pakora, fries), Coca-Cola/Pepsi (soft drinks)"
Tuberculosis,"Eggs, Milk, Bananas, Paneer, Rice + dal (soft), Turmeric milk","Fried foods, Junk food, Alcohol, Spicy foods, Soft drinks (Coca-Cola/Pepsi)"
Typhoid,"Soft,(khichdi, porridge, boiled vegetables, curd), fluids, fruit juices","Spicy/fried food, raw veggies, high-fiber food"
Urinary tract infection,"Plenty of water (3 4 L daily),Cranberry juice (unsweetened), coconut water,Vitamin C rich fruits (amla, orange, lemon),Barley water, cucumber, watermelon","Caffeine, alcohol, very spicy foods, fried junk foods."
Vitamin A Deficiency,"carrot, sweet potato, papaya, spinach, eggs, milk","Alcohol (beer, whisky), Fried foods (fries, samosa), Junk food (pizza, burger), Coca-Cola/Pepsi (soft drinks), Chips (potato chips)"
Vitamin A1 Deficiency,"carrot, papaya, spinach, eggs, sweet potato, milk","Alcohol (whisky, beer), Fried foods (samosa, pakora), Junk food (pizza, burger), Sugary drinks (Maaza, Frooti), Chips (potato chips)"
Vitamin B1 Deficiency (Beriberi),"whole grains, nuts, seeds, legumes, eggs, oranges","Alcohol (beer, whisky), White rice excess (polished rice), Sugary snacks (chocolate, candy), Fried foods (pakora, fries), Coca-Cola/Pepsi (soft drinks)"
Vitamin B12 Deficiency,"eggs, milk, paneer, curd, fish, fortified cereals","Alcohol (rum, whisky), Processed foods (packaged snacks), Junk foods (pizza, burger), Fried items (pakora, fries), Sweet drinks (Fanta, Frooti)"
Vitamin B2 Deficiency,"eggs, milk, almonds, mushrooms, spinach, yogurt","Alcohol (rum, beer), Processed snacks (chips, puffs), Junk food (pizza, burger), Sugary foods (sweets, chocolate), Fanta/Frooti (sweet drinks)"
Vitamin B5 Deficiency,"mushrooms, eggs, avocado, broccoli, chicken, whole grains","Alcohol (rum, beer), Junk food (burger, pizza), Fried foods (pakora, fries), Sugary snacks (candy, chocolate), Coca-Cola/Pepsi (soft drinks),Sweet cold coffee (iced coffee with sugar)"
Vitamin B6 Deficiency,"banana, chicken, fish, potatoes, spinach, lentils","Alcohol (rum, beer), Sugary foods (sweets, chocolate), Processed snacks (biscuits, namkeen), Fried foods (pakora, fries), Coca-Cola/Pepsi (soft drinks)"
Vitamin B9 Deficiency,"spinach, lentils, beans, banana, oranges, broccoli","Alcohol (beer, whisky), Fried food (samosa, fries), Sugary snacks (chocolate, sweets), Junk food (pizza, chowmein), Pepsi/Fanta (soft drinks),White pasta (refined)"
Vitamin C Deficiency,"orange, lemon, amla, guava, strawberries, broccoli","Fried foods (samosa, pakora), Alcohol (beer, whisky), Packaged snacks (biscuits, namkeen), Sweet drinks (Maaza, Frooti), Chips (potato chips)"
Vitamin D Deficiency,"milk, eggs, mushrooms, paneer, fortified cereals, salmon","Junk food (pizza, burger), Alcohol (beer, whisky), Fried foods (fries, samosa), Sugary drinks (Coca-Cola, Pepsi, Maaza)"
Vitamin D3 Deficiency,"milk, eggs, mushrooms, fish, paneer, fortified cereals","Alcohol (rum, beer), Fried foods (fries, pakora), Junk food (burger, momos), Coca-Cola/Pepsi (soft drinks), Sweet juices (Maaza, Frooti),Excess butter (too much ghee)"
Vitamin H (Biotin) Deficiency,"eggs, almonds, walnuts, spinach, bananas, sweet potato","Alcohol (beer, whisky), Processed food (packaged snacks), Fried items (fries, pakora), Junk food (momos, burger), Coca-Cola/Pepsi (soft drinks)"
Vitamin K Deficiency,"spinach, broccoli, cabbage, green beans, kiwi, eggs","Alcohol (rum, beer), Fried foods (pakora, fries), Junk food (momos, burger), Packaged snacks (biscuits, namkeen), Coca-Cola/Pepsi (soft drinks)"
Vitamin K2 Deficiency,"eggs, cheese, curd, chicken, spinach, broccoli","Alcohol (beer, whisky), Junk food (pizza, burger), Fried foods (samosa, fries), Packaged snacks (namkeen, chips), Pepsi/Fanta (soft drinks)"
Water Deficiency (Dehydration),"water, ORS, coconut water, watermelon, cucumber, buttermilk","Alcohol (beer, rum), Soft drinks (Coca-Cola, Pepsi), Energy drinks (Red Bull), Sweet juices (Maaza, Frooti), Tea excess (too much tea)"
Zinc Deficiency,"pumpkin seeds, nuts, beans, lentils, eggs, yogurt","Alcohol (beer, rum), Sugary foods (sweets, chocolate), Coca-Cola/Pepsi/Fanta (soft drinks), Junk food (burger, pizza), Fried items (pakora, fries)"
